,strategy,building_type,mape_overall,mape,params,features,combination_idx
0,within_domain,all,13.07294867834652,,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
1,within_domain,residential,13.07294867834652,15.215155117045692,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
2,within_domain,non_residential,13.07294867834652,10.93074223964735,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
3,cross_domain,all,19.75604276156091,,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
4,cross_domain,residential,19.75604276156091,24.901907243058634,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
5,cross_domain,non_residential,19.75604276156091,14.610178280063185,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
6,all_domain,all,12.538387373037704,,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
7,all_domain,residential,12.538387373037704,15.294838389886127,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
8,all_domain,non_residential,12.538387373037704,9.781936356189279,{'estimators': 100},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",0
9,within_domain,all,13.072949634662029,,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
10,within_domain,residential,13.072949634662029,15.215156121599493,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
11,within_domain,non_residential,13.072949634662029,10.930743147724565,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
12,cross_domain,all,19.756594776829264,,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
13,cross_domain,residential,19.756594776829264,24.90357851794111,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
14,cross_domain,non_residential,19.756594776829264,14.609611035717416,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
15,all_domain,all,12.539324052301781,,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
16,all_domain,residential,12.539324052301781,15.297537219046921,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
17,all_domain,non_residential,12.539324052301781,9.781110885556641,{'estimators': 200},"['hdd_total_year', 'cdd_total_year', 'GDP_per_capita', 'Urbanization_Rate_2022', 'latitude', 'longitude', 'Paris_Agreement', 'Subnational HDI', 'Educational index', 'Income index', '2m_temperature_2023_avg', '2m_dewpoint_temperature_2023_avg', 'total_precipitation_2023', 'population_density', 'pca_result', 'Cluster_10_0', 'Cluster_10_1', 'Cluster_10_2', 'Cluster_10_3', 'Cluster_10_4', 'Cluster_10_5', 'Cluster_10_6', 'Cluster_10_7', 'Cluster_10_8', 'Cluster_10_9']",1
